機構名稱,招標專頁網址,分類,連結狀態,最近期活動紀錄,備註
香港交易所 (Hong Kong Exchanges and Clearing Limited (HKEX)),https://www.hkex.com.hk/Global/Exchange/Tender-Notices?sc_lang=en,商業機構,失效,[2026-08-23] 狀態更新:失效(HTTP 404),"⭐⭐ 中相關|Google 索引顯示 HKEX 設有「招標啟事/Tender Notices」專頁(中英文版),網站上亦有公開 RFP 文件(如 Next Generation Post Trade Data Warehouse)。惟直接抓取(WebFetch 及 curl,包括模擬瀏覽器 UA)一律回 404,疑似封鎖機械人/海外請求,需人手用瀏覽器確認。標書以 IT/數據/設施為主,惟 HKEX 品牌及活動預算龐大,間中有推廣相關項目。"
香港旅遊業議會 (Travel Industry Council of Hong Kong (TIC)),https://www.tichk.org/en/council/tender-notices,專業團體,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|已驗證設有「Tender and Invite Quotation Notices」專頁(現時無現行標書,但設訂閱通知功能)。議會有業界推廣、公眾教育及活動項目,間中出宣傳/活動/IT 類標書;可直接訂閱其標書通知。"
香港會計師公會 (Hong Kong Institute of Certified Public Accountants (HKICPA)),https://www.hkicpa.org.hk/en/Tools/Tender-Notices/Tender-Notice-for-202627-HR-related-Insurances-Renewal,專業團體,正常,"[2026-07-14] 新增機構,待首次掃描","⭐ 低相關|招標通告發布於網站 /en/Tools/Tender-Notices/ 路徑,並在全站頁尾「Tender Notices」連結顯示現行標書(已驗證現行 2026/27 保險續保招標頁)。注意:該路徑索引頁本身會顯示查詢表格而非列表,監察宜跟蹤頁尾連結。歷來公開標書以保險/HR 類為主,marketing 類少,故評 low,但公會會員活動多,仍可留意。"
香港綠色建築議會 (Hong Kong Green Building Council (HKGBC)),https://www.hkgbc.org.hk/eng/about-us/expression-interest-tender/index.jsp,專業團體,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|已驗證設有 Expression of Interest / Tender 專頁,現有徵集項目(氣候變化框架案例徵集,截止 2026 年 8 月)。議會經常舉辦綠色建築週、展覽及公眾推廣活動,間中招標活動管理、宣傳及設計服務,值得監察。"
香港醫學專科學院 (Hong Kong Academy of Medicine (HKAM)),https://www.hkam.org.hk/en/tender-notices,專業團體,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|已驗證設有 Tender Notices 專頁(現時顯示暫無開放標書)。過往曾公開招標「30 週年慶典活動管理及製作服務」EOI、賽馬會大樓餐飲服務等,證明會出活動管理/製作類標書,對活動策劃及宣傳類 agency 有機會,值得定期監察。"
世界自然基金會香港分會 (WWF-Hong Kong),https://www.wwf.org.hk/en/jobs/tenders/,慈善機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|官方網站設有專屬「TENDER, CONSULTANCIES NOTICE」招標及顧問服務通告頁(已WebFetch驗證,現時未有刊登中項目)。WWF-HK經常推行大型公眾活動及環保宣傳(如Earth Hour、步走大自然),不時外判顧問、創意及推廣服務,值得定期監察。"
國際培幼會(香港) (Plan International Hong Kong),https://www.plan.org.hk/en/tender-notice-for-direct-dialogue-agency/,慈善機構,正常,[2026-08-23] 狀態更新:正常(HTTP 200),"⭐⭐ 中相關|國際兒童發展NGO香港分部。WebFetch回傳403,但搜尋結果snippet證實該招標通告頁存在:公開招標聘請Direct Dialogue(面對面籌款)代理,截標2026年3月6日,並列明保留議標權利。培幼會以個別網頁形式刊登招標通告(無固定列表頁),需監察其網站最新消息;籌款代理、宣傳推廣類標書與agency業務高度相關,惟頻率屬偶然。"
聯合國難民署(香港辦事處) (UNHCR Hong Kong),https://www.unhcr.org/invitations-bid.html,慈善機構,受阻,[2026-08-23] 狀態更新:受阻(HTTP 403),"⭐⭐⭐ 高相關|UNHCR香港辦事處負責私營部門夥伴(籌款)業務,定期為香港市場公開招標。WebFetch被擋(代理DNS/403),但搜尋結果證實eTenderBox為UNHCR官方公開投標平台,且曾刊登「Establishment of a Frame Agreement for the Provision of Digital Marketing Services for UNHCR Private Sector Partnerships in Hong Kong SAR」數碼營銷框架協議招標。屬全球平台,監察時需篩選Hong Kong;對數碼營銷及F2F籌款代理高度相關。 | 2026-08-07 更新為 UNHCR 全球 bidding 頁"
香港賽馬會 (The Hong Kong Jockey Club),https://suppliernetwork.hkjc.com/,慈善機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|馬會供應商網絡(Supplier Network)係其採購入口,設 EPRO 電子招標系統,涵蓋 EOI、RFQ、RFT 全流程,另有供應商註冊及供應商平台。馬會係全港最大市場推廣開支機構之一,經常採購廣告、活動、製作及數碼服務,但招標機會唔會公開列出,需先註冊成為供應商方可接收邀請,故列 medium。建議 agency 主動註冊以接收 sourcing 邀請。"
保安局 (Security Bureau (SB)),https://www.sb.gov.hk/eng/tender/index.html,政府部門,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|局方招標公告專頁,合約批出公告經政府物流服務署 e-Tender Box 查閱。保安局及轄下禁毒處不時推行禁毒、國家安全教育等公眾宣傳運動,偶有媒體製作、活動及宣傳採購。已驗證頁面存在。"
"創新科技及工業局 (Innovation, Technology and Industry Bureau (ITIB))",https://www.itib.gov.hk/en/tender/,政府部門,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|局方招標公告專頁(現時無進行中公開招標)。ITIB 主導創科推廣政策,偶有創科宣傳活動、展覽及顧問研究採購;轄下創新科技署已在現有名單,監察局本身可補漏。已驗證頁面存在。"
商務及經濟發展局 (Commerce and Economic Development Bureau (CEDB)),https://www.cedb.gov.hk/en/tender-notices.html,政府部門,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|局方自設招標及合約批出公告頁(現時無進行中招標)。CEDB 主管工商、旅遊、電訊及創意產業政策,偶有顧問研究、推廣香港營商環境及對外宣傳相關採購,屬決策局層面值得監察的漏網對象。已驗證頁面存在。"
地政總署 (Lands Department (LandsD)),https://www.landsd.gov.hk/en/whats-new/on-going-tenders.html,政府部門,正常,"[2026-07-14] 新增機構,待首次掃描","⭐ 低相關|進行中招標總覽頁,涵蓋政府賣地、短期租約、政府物業及貨品/服務/顧問合約招標。以土地及測繪相關為主,marketing 類標書少,但服務及顧問合約分類值得偶爾檢視。已驗證頁面存在(注意 /en/tinfo/ 舊連結已404,應用此頁)。"
政府化驗所 (Government Laboratory),https://www.govtlab.gov.hk/en/general_information/tender.html,政府部門,正常,"[2026-07-14] 新增機構,待首次掃描","⭐ 低相關|招標資料專頁,現時列有多項分析儀器(色譜、質譜)採購標,並分列WTO GPA涵蓋與否。幾乎全為化驗設備標,對 marketing agency 相關性低,僅作全面覆蓋。已驗證頁面列有現行標書。"
"數字政策辦公室 (Digital Policy Office (DPO, 前OGCIO+效率促進辦公室))",https://www.digitalpolicy.gov.hk/en/our_work/digital_infrastructure/business_window/tender_eoi_rfp/,政府部門,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|2024年由政府資訊科技總監辦公室與效率促進辦公室合併而成,設有招標/意向書/建議書邀請專頁及全政府IT公開招標通告。以IT標為主,但不時有數碼共融、智慧城市及數碼服務推廣、公眾教育活動採購,對 digital marketing agency 有相關性。已驗證頁面列有現行標書。"
民眾安全服務隊 (Civil Aid Service (CAS)),https://www.cas.gov.hk/chi/about/tender_notice.html,政府部門,正常,"[2026-07-14] 新增機構,待首次掃描","⭐ 低相關|招標公告頁(現時無公開招標項目),採購以制服、裝備及訓練物資為主,並多用政府採購卡供應商名單報價;偶有招募宣傳相關採購。英文版页面暫時503,已成功驗證中文版頁面存在。"
水務署 (Water Supplies Department (WSD)),https://www.wsd.gov.hk/en/tenders-contracts-and-consultancies/contracts/tender/index.html,政府部門,正常,"[2026-07-14] 新增機構,待首次掃描","⭐ 低相關|招標公告專頁,以水務工程、機電、化驗設備及物料供應標為主,偶有服務類採購;署方亦推行節約用水公眾教育(如齊來慳水),相關宣傳採購偶爾出現,屬長尾監察對象。已驗證頁面列有現行標書。"
"漁農自然護理署 (Agriculture, Fisheries and Conservation Department (AFCD))",https://www.afcd.gov.hk/english/tender/tender.html,政府部門,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|招標/招租公告專頁,按漁業、農業、郊野公園、自然保育、檢驗檢疫分類。大部分為植林、園林及設施標,但署方經常舉辦郊野公園推廣、動物領養、海岸公園教育等公眾活動,偶有展覽、活動策劃及宣傳品採購。已驗證頁面存在並列有分類標書。"
環境及生態局 (Environment and Ecology Bureau (EEB)),https://www.eeb.gov.hk/food/en/tender/index.html,政府部門,正常,"[2026-07-14] 新增機構,待首次掃描","⭐ 低相關|局方(食物科)招標資料頁,設歷史標書存檔,現時無進行中招標;另設合約批出公告頁。環保及減廢宣傳大多經轄下環保署(已在名單)出標,局本身標書較少,作補漏監察。已驗證頁面存在。"
"行政署(政務司司長辦公室轄下) (Administration Wing, Chief Secretary for Administration's Office)",https://www.admwing.gov.hk/eng/tender/tender.html,政府部門,正常,"[2026-07-14] 新增機構,待首次掃描","⭐ 低相關|行政署自設招標公告及合約批出公告頁(現時無進行中招標),過往標書多為政府總部及歷史檔案大樓保安、清潔等設施服務,偶有禮賓及活動支援採購。已驗證頁面存在。"
財經事務及庫務局(財經事務科) (Financial Services and the Treasury Bureau (FSTB)),https://www.fstb.gov.hk/fsb/en/tender/index.html,政府部門,正常,"[2026-07-14] 新增機構,待首次掃描",⭐⭐ 中相關|財經事務科自設招標公告頁(現時無進行中招標);另庫務科設全政府招標資料目錄頁。FSTB 偶有金融發展研究顧問、金融科技及投資者推廣相關採購。已驗證頁面存在。
運輸及物流局 (Transport and Logistics Bureau (TLB)),https://www.tlb.gov.hk/eng/service/tender/index.html,政府部門,正常,"[2026-07-14] 新增機構,待首次掃描","⭐ 低相關|局方服務台招標公告頁,匯集本局及轄下民航處、路政署、海事處、運輸署的招標連結,局本身直接出標較少,多為運輸基建及顧問研究。轄下部門大多已在現有名單,此頁作決策局層面補漏。已驗證頁面存在。"
香港警務處 (Hong Kong Police Force (HKPF)),https://www.police.gov.hk/ppp_en/11_useful_info/tenders.html,政府部門,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|警務處自設招標/合約批出公告頁,現時多為清潔、保安、通訊系統維修等服務標,但部門規模大,不時有招募宣傳、防罪教育、活動製作及印刷設計類採購(部分經報價邀請),值得恆常監察。已用 WebFetch 驗證頁面存在且列有現行標書。"
東華學院 (Tung Wah College (TWC)),https://www.twc.edu.hk/en/Administration_Units/fo_prs/tender-notices,教育機構,受阻,"[2026-07-14] 新增機構,待首次掃描","⭐ 低相關|財務處採購組(Procurement Section)轄下 Tender Notices 專頁。WebFetch 存取英文及中文版均回應 403(網站 WAF 封鎖),但搜尋結果標題「Tung Wah College - Finance Office - Procurement Section - Tender Notices」證實該頁存在。自資院校,標書預計以設施/服務類為主,偶有招生推廣可能;母機構東華三院唔喺已有名單內,學院自身採購獨立運作。"
香港中文大學 (The Chinese University of Hong Kong (CUHK)),https://cupro-cuhk.com/,教育機構,受阻,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|中大經 CUPro 電子採購平台(2023年起全面使用)發布招標及報價邀請,供應商註冊後可參與投標。大學規模大、採購量高,間中有品牌宣傳、招生推廣、影片製作及活動類標書。WebFetch 存取時回應 503(疑似封鎖機械人),但中大官方 Terms of Use PDF 及供應商手冊均寄存於此網域,證實為官方平台;財務處 Centralized Tenders 頁(fno.cuhk.edu.hk)需教職員登入,非公開。"
香港城市大學 (City University of Hong Kong (CityU)),https://etender.cityu.edu.hk/,教育機構,正常,[2026-08-23] 狀態更新:正常(HTTP 200),"⭐⭐ 中相關|城大財務處採購組電子招標系統,公開發布 Tender Notices 及資格預審通知,供應商註冊後投標。WebFetch 多次存取回應 503(疑似封鎖機械人),但該網域寄存嘅官方 Terms of Usage/General Terms PDF 及多個搜尋結果證實系統存在及運作中。大學規模大,間中有宣傳推廣、設計及活動類標書。"
香港恒生大學 (The Hang Seng University of Hong Kong (HSUHK)),https://fo.hsu.edu.hk/supplier/tender-notice/,教育機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐ 低相關|財務處供應商 Tender Notice 頁,已核實,有現行標書。現時公開標書以裝修、餐飲設施、保安等工程/設施類為主;私立大學有招生宣傳需求,偶有機會出推廣類標書,頁面簡單,監察成本低。"
香港演藝學院 (The Hong Kong Academy for Performing Arts (HKAPA)),https://www.hkapa.edu/tenders,教育機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐ 低相關|法定演藝高等學府。官方招標專頁已驗證,現有「LED Wall Virtual Production for Film Education」EOI,另接受加入學院 Vendor List 申請。標書以設施工程、演藝製作器材為主,偶有製作、活動、設計相關項目,對影片製作公司有零星機會。"
香港理工大學 (The Hong Kong Polytechnic University (PolyU)),https://www.polyu.edu.hk/fo/suppliers/tender-notice/,教育機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐⭐ 高相關|財務處 Tender Notice 頁,已核實;公開招標刊於 e-Tendering System(tendering.polyu.edu.hk)嘅 Open Tender Notice(公眾可經 CAPTCHA 查閱)。有紀錄顯示理大曾公開招標課程推廣服務(如 BSc (Hons) Architectural Studies 推廣),招生宣傳、品牌推廣類標書出現頻率喺大學之中偏高,對 social media agency 相關性強。"
香港科技大學 (The Hong Kong University of Science and Technology (HKUST)),https://w5.ab.ust.hk/jstd/td_tender_notice,教育機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|採購處(PURO)公開招標公告頁,已核實,現列約20個標書。所有超過50萬港元採購均公開招標,配合 e-Tendering System 投標。現時標書多為儀器、工程及 IT 類,但間中有宣傳、活動及媒體製作類招標,金額大,值得長期監察。"
PMQ 元創方 (PMQ (PMQ Management Co. Ltd)),https://www.pmq.org.hk/tender_notice/,文化藝術機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐ 低相關|非牟利創意設計地標,由 PMQ Management Co. Ltd 營運,設有公開 Tender Notice 專頁。現時刊登嘅三個標全部屬設施工程類(緊急照明電池、水泵控制板、消防泵更換);但作為設計/創意活動樞紐(如 deTour 設計節),間中會就活動策劃及推廣服務招標,監察成本低,可以留意。"
香港舞蹈團 (Hong Kong Dance Company),https://www.hkdance.com/en/tender-notices,文化藝術機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|九大藝團之一,係極少數設有公開招標專頁嘅表演藝術團體。招標頁定期刊登製作相關採購,現時有大型舞劇《熊貓》(PANDA RAMA)演出服裝設計/製作招標;過往亦涉及宣傳品設計、演出攝錄影片製作等創意服務,對設計、影片製作及宣傳推廣公司有間中機會,值得監察。"
"申訴專員公署 (Office of The Ombudsman, Hong Kong)",https://www.ombudsman.hk/newsresources/?lang=en#tag_Tender_Information,法定機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐ 低相關|網站「News & Resources」內設有「Tender Information」專區,分「招標邀請」及「合約批出」兩部分(已用 WebFetch 驗證,現時無進行中招標)。標書唔頻密,過往多屬資訊系統、辦公室服務、年報/刊物製作類,偶然有設計印刷及宣傳推廣相關項目,適合低頻監察。"
"九龍樂善堂 (The Lok Sin Tong Benevolent Society, Kowloon)",https://www.loksintong.org/tender-notice,社福機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐⭐ 高相關|招標頁活躍且更新頻密,現正招標項目包括「AI 圖片修復、動態短片製作及3D紀念卡通人像」服務,直接同影片製作/創意服務相關;另設電子投標平台 loksintong.e-tendering.com 及供應商登記。歷史悠久慈善機構,服務多元(醫療、教育、長者、社區),經常公開招標,對 agency 監察價值最高。"
協康會 (Heep Hong Society),https://www.heephong.org/aboutus/tender-notices,社福機構,正常,[2026-08-23] 狀態更新:正常(HTTP 200),"⭐ 低相關|已驗證招標公告頁,活躍使用,近期標書包括學童保姆車採購及兒童評估量表顧問服務。主要係物料/車輛/顧問標,marketing 類較少,但頁面持續更新,可低成本納入監察。"
基督教家庭服務中心 (Christian Family Service Centre (CFSC)),https://www.cfsc.org.hk/tc/aboutUs/tenderNotice,社福機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐ 低相關|已驗證招標公告專頁(現時暫無公告),另設「已批出合約」透明度頁。過往標書包括餸菜包服務、辦公室裝修等,以服務及工程類為主,marketing 類偶然;觀塘大型綜合服務機構。"
基督教香港信義會社會服務部 (Evangelical Lutheran Church Social Service - Hong Kong (ELCSS-HK)),https://service.elchk.org.hk/tender_notices.php,社福機構,受阻,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|WebFetch 被網站擋(503),但 Wayback Machine 2026年4月存檔(HTTP 200)證實此招標公告頁仍存在,搜尋結果亦確認網站設「招標公告」欄目。營運屯門地區康健中心等大型項目,地區康健中心類項目常有宣傳推廣採購,值得監察。"
新生精神康復會 (New Life Psychiatric Rehabilitation Association (NLPRA)),https://www.nlpra.org.hk/tc/tender,社福機構,失效,[2026-08-23] 狀態更新:失效(HTTP 404),"⭐⭐ 中相關|WebFetch 被擋(503),但以 curl 直接驗證該 URL 回傳 200,頁面為「招標通告」專頁(現時無項目)。機構推行 dayday330、精神健康推廣活動及社企品牌(farmfresh330等),有公眾宣傳需求,偶有相關標書機會。"
東華三院 (Tung Wah Group of Hospitals (TWGHs)),https://www.tungwah.org.hk/en/about/supplier/,社福機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|已驗證採購/供應商登記專頁(分一般貨品服務、工程顧問及承辦商兩類)。東華三院招標主要向已登記供應商發出邀請,登記類別包括印刷、保險顧問等服務;全港最大慈善機構之一,年辦「歡樂滿東華」等大型宣傳籌款活動,建議登記做供應商以接收邀標。"
浸信會愛羣社會服務處 (Baptist Oi Kwan Social Service (BOKSS)),https://www.bokss.org.hk/tender-notices,社福機構,正常,[2026-08-23] 狀態更新:正常(HTTP 200),"⭐ 低相關|WebFetch 被網站擋(503),但搜尋結果顯示網站設「招標通告/招標結果」欄目(例:樂齡及康復創科應用基金科技產品供應標書結果),Wayback 2026年4月存檔 HTTP 200 證實頁面存在。以科技產品/服務採購為主,兼營精神健康公眾教育。"
聖雅各福群會 (St. James' Settlement),https://sjs.org.hk/tc/news/tender-notice.php,社福機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|已驗證招標公告頁,現時列出幼稚園外籍英語導師等服務標書。灣仔大型多元服務 NGO,設有社企、慈惠禮品、大型籌款活動,偶有服務類及活動類標書,值得定期監察。"
香港中華基督教青年會 (Chinese YMCA of Hong Kong),https://ymca.org.hk/en/about-us/tender-notices/,社福機構,受阻,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|網站有 Cloudflare 防護,WebFetch/curl 均被擋(403 challenge),但多個搜尋結果證實網站導航設「Tender Notices/招標項目」欄目,且 Wayback CDX 顯示此 URL 於2025年10月有 HTTP 200 存檔(中文版為 ymca.org.hk/aboutymca/tender/)。會所、營地、酒店(The Salisbury屬另一港青)及大量活動,偶有活動及服務類標書。"
香港小童群益會 (The Boys' & Girls' Clubs Association of Hong Kong (BGCA)),https://www.bgca.org.hk/articles/tender-notice,社福機構,受阻,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|WebFetch 被網站擋(503),但搜尋結果及 Wayback Machine 2026年4月存檔(HTTP 200)證實該 Tender Notice 頁存在。大型兒童青少年服務機構,常辦大型籌款及公眾活動,偶有活動/服務類標書。"
香港復康會 (The Hong Kong Society for Rehabilitation (HKSR)),https://www.rehabsociety.org.hk/procurement-requisition/tender-notice/,社福機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐ 低相關|已驗證 Procurement Requisition 下設 Tender Notice 專頁,並有 RFQ 及 RFP 分頁。現有標書為車隊燃油供應,過往包括復康巴士採購、翻新工程顧問等,以物料/工程為主,但採購版面完善、更新有序。"
香港明愛(社會工作服務部) (Caritas Hong Kong - Social Work Services),https://sws.caritas.org.hk/CT/tender.php,社福機構,受阻,"[2026-07-14] 新增機構,待首次掃描","⭐ 低相關|明愛社會工作服務部設有招標網頁(繁體版 /CT/tender.php,另有簡體版 /CS/tender.php),Google 搜尋索引可見該頁存在,但 WebFetch 多次被伺服器擋(503),未能直接開啟驗證,建議人手核實。標書預計以服務單位裝修工程、設備及服務採購為主,marketing 相關較少;明愛屬大型社福機構,間中或有活動、印刷、宣傳類報價邀請。"
香港耆康老人福利會 (The Hong Kong Society for the Aged (SAGE)),https://www.sage.org.hk/tc/tender,社福機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐ 低相關|已驗證設有招標公告專頁(頁面標題「招標公告 | 香港耆康老人福利會」)。29個服務單位、日均服務3.5萬長者,標書以院舍工程、設備、服務採購為主,偶有公眾教育項目。"
香港青年協會 (The Hong Kong Federation of Youth Groups (HKFYG)),https://hkfyg.org.hk/en/tender-notices/,社福機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|已驗證官方 Tender Notices 專頁(現時暫無招標項目,屬項目式發佈)。青協有 90+ 服務單位,大量青年活動、刊物、領袖學院及宣傳項目,間中出活動策劃/宣傳類標書,建議恆常監察。"
"中國香港手球總會 (Handball Association of Hong Kong, China)",http://www.handball.org.hk/tender.htm,體育機構,正常,[2026-08-23] 狀態更新:正常(HTTP 200),"⭐ 低相關|設有「招標公告」專頁,列出2018至2026年多份招標/採購公告 PDF,更新持續。標書類型主要為代表隊機票、酒店住宿、制服及比賽用球採購,marketing 類標書少,故列 low。WebFetch 被伺服器擋(503),但已用直接 HTTP 請求完整讀取頁面內容,確認頁面存在且為招標公告列表,URL 真實有效。"
"中國香港排球總會 (Volleyball Association of Hong Kong, China)",https://www.vbahk.org.hk/articlelist/78,體育機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐⭐ 高相關|網站設有專門「招標項目」欄目,更新頻密。近期標書包括:世界女排聯賽香港站賽事籌辦服務、社區活動製作與管理、A1排球聯賽網上直播服務、酒店住宿、裁判制服等。賽事宣傳、社區活動製作及直播類標書同 social media/event agency 高度相關,係體育總會中最值得監察嘅目標之一。"
"中國香港羽毛球總會 (Badminton Association of Hong Kong, China)",https://hkbadmintonassn.org.hk/en/tender-notice/,體育機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐⭐ 高相關|網站「About Us」下設有 Tender Notice 專頁。近期標書圍繞香港羽毛球公開賽:社區活動計劃策劃執行、紅館燈光佈置裝飾、賽事燈光、歡迎晚宴等。活動策劃、場地佈置及社區推廣類標書同 event/marketing agency 直接相關,每年大賽前會集中出標。"
中國香港龍舟總會 (Hong Kong China Dragon Boat Association),https://hkcdba.org/%e9%80%9a%e5%91%8a,體育機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|招標及報價通告刊於網站「通告」及最新消息欄,無獨立招標專頁。已驗證實例:「誠邀報價—2026年度龍舟賽事場地設置服務」(帳篷、圍欄、背景板搭建拆卸,覆蓋全年四場賽事)及拍賣投標邀請。主辦香港國際龍舟邀請賽等大型活動,場地設置及活動製作類報價同 event production 相關,值得監察。"
